Collection set,Camera Pod,Video ID,Time,Vehicle type,Vehicle color,Human pose,Notes
April 5th,Front,38,Dusk,Human,black,stand,
April 5th,Rear,30,Dusk,Human,black,stand,
April 5th,Front,39,Dusk,Human,black,stand,
April 5th,Rear,31,Dusk,Human,black,stand,
April 5th,Front,41,Dusk,Human,black,stand,
April 5th,Front,43,Dusk,Human,black,sit,
April 5th,Rear,34,Dusk,Human,black,stand,
April 5th,Front,44,Dusk,Human,black,sit,
April 5th,Rear,35,Dusk,Human,black,sit,
April 5th,Front,46,Dusk,Human,black,stand,
April 5th,Rear,36,Dusk,Human,black,stand,
April 5th,Front,47,Dusk,Human,black,stand,
April 5th,Front,50,Dusk,Human,black,stand,
April 5th,Rear,41,Dusk,Human,black,stand,
"Apri 27th, May 1st and 4th",Front,0,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,0,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Front,1,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Front,2,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,1,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Front,3,Day,Human,white,sit,
"Apri 27th, May 1st and 4th",Rear,2,Day,Human,white,sit,
"Apri 27th, May 1st and 4th",Front,4,Day,Human,white,stand,
"Apri 27th, May 1st and 4th",Rear,3,Day,Human,white,stand,
"Apri 27th, May 1st and 4th",Front,5,Day,Human,white,stand,
"Apri 27th, May 1st and 4th",Rear,4,Day,Human,white,stand,
"Apri 27th, May 1st and 4th",Front,6,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,5,Day,Pickup,white,,first half stationary
"Apri 27th, May 1st and 4th",Front,7,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,6,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,7,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Front,8,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,8,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Front,9,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,9,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Front,10,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,10,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Rear,11,Day,Pickup,white,,
"Apri 27th, May 1st and 4th",Front,11,Day,,,,do not use
"Apri 27th, May 1st and 4th",Front,12,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,12,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,13,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,14,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Front,14,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,15,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Front,15,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,16,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,17,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Front,16,Dusk,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,18,Dusk,,,,do not use
"Apri 27th, May 1st and 4th",Front,17,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,19,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,20,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,21,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Front,19,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,22,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,25,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Front,25,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,26,Night,Pickup,black,,
"Apri 27th, May 1st and 4th",Rear,27,Night,Pickup,black,,
